frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Feb 23, 2021 20:22:47.572686000 CST",1614133367.572686000,111,1514,1514,0x00000800,4,20,,0x0000ce79,0x00000040,0,1,0,0,64,6,0x00005262,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,10430,2237,1448,32,0x00000010,0,0,0,0,1,0,0,64128,0x000084a0,0,
1,"Feb 23, 2021 20:22:47.572730000 CST",1614133367.572730000,112,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,2237,11878,0,32,0x00000010,0,0,0,0,1,0,0,129600,0x00000034,0,
1,"Feb 23, 2021 20:22:47.572911000 CST",1614133367.572911000,113,1514,1514,0x00000800,4,20,,0x0000ce7a,0x00000040,0,1,0,0,64,6,0x00005261,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,11878,2237,1448,32,0x00000010,0,0,0,0,1,0,0,64128,0x00009dfe,0,
1,"Feb 23, 2021 20:22:47.572915000 CST",1614133367.572915000,114,646,646,0x00000800,4,20,,0x0000ce7b,0x00000040,0,1,0,0,64,6,0x000055c4,10.0.0.43,10.0.0.22,632,0x00000000,80,62733,13326,2237,580,32,0x00000018,0,0,0,1,1,0,0,64128,0x00008490,0,
1,"Feb 23, 2021 20:22:47.572952000 CST",1614133367.572952000,115,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,2237,13906,0,32,0x00000010,0,0,0,0,1,0,0,129024,0x0000f850,0,
1,"Feb 23, 2021 20:22:47.882066000 CST",1614133367.882066000,116,113,113,0x000086dd,,,,,,,,,,,,,,,,,443,62656,1,1,39,20,0x00000018,0,0,0,1,1,0,0,61,0x000039e0,0,
1,"Feb 23, 2021 20:22:47.882070000 CST",1614133367.882070000,117,98,98,0x000086dd,,,,,,,,,,,,,,,,,443,62656,40,1,24,20,0x00000018,0,0,0,1,1,0,0,61,0x0000cd0a,0,
1,"Feb 23, 2021 20:22:47.882071000 CST",1614133367.882071000,118,74,74,0x000086dd,,,,,,,,,,,,,,,,,443,62656,64,1,0,20,0x00000011,1,0,0,0,1,0,0,61,0x00001422,0,
1,"Feb 23, 2021 20:22:47.882143000 CST",1614133367.882143000,119,74,74,0x000086dd,,,,,,,,,,,,,,,,,62656,443,1,64,0,20,0x00000010,0,0,0,0,1,0,0,4095,0x00000461,0,
1,"Feb 23, 2021 20:22:47.882158000 CST",1614133367.882158000,120,74,74,0x000086dd,,,,,,,,,,,,,,,,,62656,443,1,65,0,20,0x00000010,0,0,0,0,1,0,0,4095,0x00000460,0,
1,"Feb 23, 2021 20:22:47.882274000 CST",1614133367.882274000,121,74,74,0x000086dd,,,,,,,,,,,,,,,,,62656,443,1,65,0,20,0x00000011,1,0,0,0,1,0,0,4096,0x0000045e,0,
1,"Feb 23, 2021 20:22:47.907664000 CST",1614133367.907664000,122,74,74,0x000086dd,,,,,,,,,,,,,,,,,443,62656,65,2,0,20,0x00000010,0,0,0,0,1,0,0,61,0x00001421,0,
1,"Feb 23, 2021 20:22:48.285306000 CST",1614133368.285306000,124,54,54,0x00000800,4,20,,0x00002335,0x00000000,0,0,0,0,64,6,0x0000636d,10.0.0.22,65.8.169.16,40,0x00000000,62593,443,1,1,0,20,0x00000010,0,0,0,0,1,0,0,2048,0x00004542,0,
